Year_,Country,ISO3,CPI_Score,Ranking
2019,New Zealand,NZL,87,1
2019,Denmark,DNK,87,1
2019,Finland,FIN,86,3
2019,Switzerland,CHE,85,4
2019,Singapore,SGP,85,4
2019,Sweden,SWE,85,4
2019,Norway,NOR,84,7
2019,Netherlands,NLD,82,8
2019,Luxembourg,LUX,80,9
2019,Germany,DEU,80,9
2019,Iceland,ISL,78,11
2019,Canada,CAN,77,12
2019,United Kingdom,GBR,77,12
2019,Australia,AUS,77,12
2019,Austria,AUT,77,12
2019,Hong Kong,HKG,76,16
2019,Belgium,BEL,75,17
2019,Ireland,IRL,74,18
2019,Estonia,EST,74,18
2019,Japan,JPN,73,20
2019,United Arab Emirates,ARE,71,21
2019,Uruguay,URY,71,21
2019,United States of America,USA,69,23
2019,France,FRA,69,23
2019,Bhutan,BTN,68,25
2019,Chile,CHL,67,26
2019,Seychelles,SYC,66,27
2019,Taiwan,TWN,65,28
2019,Bahamas,BHS,64,29
2019,Barbados,BRB,62,30
2019,Portugal,PRT,62,30
2019,Qatar,QAT,62,30
2019,Spain,ESP,62,30
2019,Botswana,BWA,61,34
2019,Brunei Darussalam,BRN,60,35
2019,Israel,ISR,60,35
2019,Slovenia,SVN,60,35
2019,Lithuania,LTU,60,35
2019,Saint Vincent and the Grenadines,VCT,59,39
2019,"Korea, South",KOR,59,39
2019,Poland,POL,58,41
2019,Cyprus,CYP,58,41
2019,Cabo Verde,CPV,58,41
2019,Costa Rica,CRI,56,44
2019,Latvia,LVA,56,44
2019,Czech Republic,CZE,56,44
2019,Georgia,GEO,56,44
2019,Dominica,DMA,55,48
2019,Saint Lucia,LCA,55,48
2019,Malta,MLT,54,50
2019,Rwanda,RWA,53,51
2019,Grenada,GRD,53,51
2019,Italy,ITA,53,51
2019,Saudi Arabia,SAU,53,51
2019,Malaysia,MYS,53,51
2019,Namibia,NAM,52,56
2019,Mauritius,MUS,52,56
2019,Oman,OMN,52,56
2019,Slovakia,SVK,50,59
2019,Jordan,JOR,48,60
2019,Greece,GRC,48,60
2019,Cuba,CUB,48,60
2019,Croatia,HRV,47,63
2019,Sao Tome and Principe,STP,46,64
2019,Vanuatu,VUT,46,64
2019,Montenegro,MNE,45,66
2019,Senegal,SEN,45,66
2019,Belarus,BLR,45,66
2019,Argentina,ARG,45,66
2019,Romania,ROU,44,70
2019,Hungary,HUN,44,70
2019,South Africa,ZAF,44,70
2019,Suriname,SUR,44,70
2019,Jamaica,JAM,43,74
2019,Bulgaria,BGR,43,74
2019,Tunisia,TUN,43,74
2019,Solomon Islands,SLB,42,77
2019,Bahrain,BHR,42,77
2019,Armenia,ARM,42,77
2019,China,CHN,41,80
2019,Morocco,MAR,41,80
2019,Ghana,GHA,41,80
2019,India,IND,41,80
2019,Benin,BEN,41,80
2019,Burkina Faso,BFA,40,85
2019,Lesotho,LSO,40,85
2019,Trinidad and Tobago,TTO,40,85
2019,Kuwait,KWT,40,85
2019,Guyana,GUY,40,85
2019,Indonesia,IDN,40,85
2019,Serbia,SRB,39,91
2019,Turkey,TUR,39,91
2019,Sri Lanka,LKA,38,93
2019,Timor-Leste,TLS,38,93
2019,Ecuador,ECU,38,93
2019,Colombia,COL,37,96
2019,Tanzania,TZA,37,96
2019,Ethiopia,ETH,37,96
2019,Vietnam,VNM,37,96
2019,Gambia,GMB,37,96
2019,Kosovo,KSV,36,101
2019,Bosnia and Herzegovina,BIH,36,101
2019,Panama,PAN,36,101
2019,Thailand,THA,36,101
2019,Peru,PER,36,101
2019,Albania,ALB,35,106
2019,Brazil,BRA,35,106
2019,Mongolia,MNG,35,106
2019,Cote d'Ivoire,CIV,35,106
2019,North Macedonia,MKD,35,106
2019,Algeria,DZA,35,106
2019,Egypt,EGY,35,106
2019,Eswatini,SWZ,34,113
2019,Zambia,ZMB,34,113
2019,Philippines,PHL,34,113
2019,El Salvador,SLV,34,113
2019,Kazakhstan,KAZ,34,113
2019,Nepal,NPL,34,113
2019,Sierra Leone,SLE,33,119
2019,Niger,NER,32,120
2019,Pakistan,PAK,32,120
2019,Moldova,MDA,32,120
2019,Bolivia,BOL,31,123
2019,Gabon,GAB,31,123
2019,Malawi,MWI,31,123
2019,Djibouti,DJI,30,126
2019,Azerbaijan,AZE,30,126
2019,Ukraine,UKR,30,126
2019,Kyrgyzstan,KGZ,30,126
2019,Maldives,MDV,29,130
2019,Togo,TGO,29,130
2019,Mali,MLI,29,130
2019,Myanmar,MMR,29,130
2019,Laos,LAO,29,130
2019,Mexico,MEX,29,130
2019,Guinea,GIN,29,130
2019,Liberia,LBR,28,137
